title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
The Lord of the Rings: The Two Towers,1.0,1.0,0.0,94000000,0.0,0.0,62007528,1.0,0.0,1.0,936689735,0.0,0.0,179.0,0.0,0.0,2002,0,0,1,0
Harry Potter and the Order of the Phoenix,1.0,1.0,0.0,150000000,0.0,0.0,77108414,0.0,1.0,1.0,941676843,1.0,0.0,138.0,0.0,0.0,2007,0,0,1,0
Finding Nemo,0.0,1.0,1.0,94000000,1.0,0.0,70251710,0.0,1.0,0.0,871014978,0.0,0.0,100.0,0.0,0.0,2003,0,0,0,0
Harry Potter and the Half-Blood Prince,1.0,1.0,0.0,250000000,0.0,0.0,77835727,0.0,1.0,1.0,933959197,1.0,0.0,153.0,0.0,0.0,2009,0,1,0,0
Shrek 2,0.0,1.0,1.0,150000000,1.0,0.0,108037878,0.0,1.0,1.0,928760770,0.0,1.0,93.0,0.0,0.0,2004,0,1,0,0
Bohemian Rhapsody,0.0,0.0,0.0,52000000,0.0,0.0,51061119,1.0,0.0,0.0,903655259,1.0,0.0,134.0,0.0,0.0,2018,0,0,1,0
The Lord of the Rings: The Fellowship of the Ring,1.0,1.0,0.0,93000000,0.0,0.0,47211490,1.0,0.0,1.0,880839846,0.0,0.0,178.0,0.0,0.0,2001,0,0,1,0
Harry Potter and the Goblet of Fire,0.0,1.0,0.0,150000000,0.0,0.0,102685961,0.0,1.0,1.0,895921036,1.0,0.0,157.0,0.0,0.0,2005,0,0,1,0
Spider-Man 3,1.0,1.0,0.0,258000000,0.0,0.0,151116516,0.0,0.0,0.0,894983373,0.0,0.0,139.0,1.0,0.0,2007,0,0,1,0
Ice Age: Dawn of the Dinosaurs,0.0,1.0,1.0,90000000,1.0,0.0,41690382,1.0,1.0,0.0,886686817,0.0,0.0,94.0,0.0,0.0,2009,0,1,0,0
Spectre,1.0,1.0,0.0,245000000,0.0,0.0,70403148,0.0,0.0,0.0,880674609,0.0,0.0,148.0,0.0,1.0,2015,0,0,1,0
Spider-Man: Homecoming,1.0,1.0,0.0,175000000,0.0,0.0,117027503,0.0,0.0,0.0,880166924,0.0,0.0,133.0,1.0,0.0,2017,0,0,1,0
Harry Potter and the Chamber of Secrets,0.0,1.0,0.0,100000000,0.0,0.0,88357488,0.0,1.0,1.0,878979634,1.0,0.0,161.0,0.0,0.0,2002,0,1,0,0
Ice Age: Continental Drift,0.0,1.0,1.0,95000000,1.0,0.0,46629259,1.0,1.0,0.0,877244782,0.0,0.0,88.0,0.0,0.0,2012,0,1,0,0
The Secret Life of Pets,0.0,1.0,1.0,75000000,1.0,0.0,104352905,0.0,1.0,0.0,875457937,0.0,0.0,87.0,0.0,0.0,2016,0,1,0,0
Batman v Superman: Dawn of Justice,1.0,1.0,0.0,250000000,0.0,0.0,166007347,0.0,0.0,0.0,873634919,0.0,0.0,152.0,1.0,0.0,2016,0,0,1,0
Wolf Warrior 2,1.0,1.0,0.0,30100000,0.0,0.0,219022,1.0,0.0,0.0,870325439,1.0,0.0,123.0,0.0,1.0,2017,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,1.0,1.0,0.0,113000000,0.0,0.0,108435841,0.0,0.0,1.0,868352530,0.0,0.0,140.0,1.0,0.0,2005,0,0,1,0
The Hunger Games: Catching Fire,1.0,0.0,0.0,130000000,0.0,0.0,158074286,1.0,0.0,0.0,865011746,1.0,0.0,146.0,1.0,1.0,2013,0,0,1,0
Guardians of the Galaxy Vol. 2,1.0,1.0,0.0,200000000,1.0,0.0,146510104,0.0,0.0,0.0,863756051,0.0,0.0,136.0,1.0,0.0,2017,0,0,1,0
Inside Out,0.0,1.0,1.0,175000000,1.0,0.0,90440272,0.0,1.0,1.0,857611174,0.0,0.0,95.0,0.0,0.0,2015,0,1,0,0
Venom,1.0,1.0,0.0,100000000,0.0,0.0,80255756,0.0,0.0,0.0,856085151,0.0,0.0,112.0,1.0,0.0,2018,0,0,1,0
Thor: Ragnarok,1.0,1.0,0.0,180000000,1.0,0.0,122744989,0.0,0.0,1.0,853977126,0.0,0.0,130.0,1.0,0.0,2017,0,0,1,0
Inception,1.0,1.0,0.0,160000000,0.0,0.0,62785337,0.0,0.0,0.0,826137188,0.0,0.0,148.0,1.0,1.0,2010,0,0,1,0
Transformers: Revenge of the Fallen,1.0,1.0,0.0,200000000,0.0,0.0,108966307,0.0,0.0,0.0,836303693,0.0,0.0,149.0,1.0,0.0,2009,0,0,1,0
The Twilight Saga: Breaking Dawn - Part 2,0.0,1.0,0.0,120000000,0.0,0.0,141067634,1.0,0.0,1.0,829746820,0.0,1.0,115.0,0.0,0.0,2012,0,0,1,0
Spider-Man,1.0,1.0,0.0,139000000,0.0,0.0,114844116,0.0,0.0,0.0,821708551,0.0,0.0,121.0,1.0,0.0,2002,0,0,1,0
Wonder Woman,1.0,1.0,0.0,149000000,0.0,0.0,103251471,0.0,0.0,1.0,821847012,1.0,0.0,141.0,1.0,0.0,2017,0,0,1,0
Independence Day,1.0,1.0,0.0,75000000,0.0,0.0,50228264,0.0,0.0,0.0,817400891,0.0,0.0,145.0,1.0,0.0,1996,0,0,1,0
Fantastic Beasts and Where to Find Them,0.0,1.0,0.0,180000000,0.0,0.0,74403387,0.0,1.0,1.0,814037575,0.0,0.0,132.0,0.0,0.0,2016,0,0,1,0
Shrek the Third,0.0,1.0,1.0,160000000,1.0,0.0,121629270,0.0,1.0,1.0,813367380,0.0,1.0,93.0,0.0,0.0,2007,0,1,0,0
Jumanji: The Next Level,1.0,1.0,0.0,125000000,1.0,0.0,59251543,0.0,0.0,1.0,800059707,0.0,0.0,123.0,0.0,0.0,2019,0,0,1,0
Harry Potter and the Prisoner of Azkaban,0.0,1.0,0.0,130000000,0.0,0.0,93687367,0.0,1.0,1.0,795634069,1.0,0.0,142.0,0.0,0.0,2004,0,1,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,1.0,1.0,0.0,230000000,0.0,0.0,62983253,0.0,0.0,1.0,794861794,0.0,0.0,129.0,0.0,0.0,2017,0,0,1,0
E.T. the Extra-Terrestrial,0.0,0.0,0.0,10500000,0.0,0.0,11835389,0.0,1.0,0.0,359197037,0.0,0.0,115.0,1.0,0.0,1982,0,1,0,0
Mission: Impossible - Fallout,1.0,1.0,0.0,178000000,0.0,0.0,61236534,0.0,0.0,0.0,791115104,0.0,0.0,147.0,0.0,1.0,2018,0,0,1,0
2012,1.0,1.0,0.0,200000000,0.0,0.0,65237614,0.0,0.0,0.0,769679473,0.0,0.0,158.0,1.0,0.0,2009,0,0,1,0
Indiana Jones and the Kingdom of the Crystal Skull,1.0,1.0,0.0,185000000,0.0,0.0,100137835,0.0,0.0,0.0,790653942,0.0,0.0,122.0,0.0,0.0,2008,0,0,1,0
Spider-Man 2,1.0,1.0,0.0,200000000,0.0,0.0,88156227,0.0,0.0,0.0,788976453,0.0,0.0,127.0,1.0,0.0,2004,0,0,1,0
Fast & Furious 6,1.0,1.0,0.0,160000000,0.0,0.0,97375245,0.0,0.0,0.0,788679850,0.0,0.0,130.0,0.0,1.0,2013,0,0,1,0
Deadpool 2,1.0,1.0,0.0,110000000,1.0,0.0,125507153,0.0,0.0,0.0,734546611,0.0,0.0,119.0,1.0,0.0,2018,0,0,0,1
Deadpool,1.0,1.0,0.0,58000000,1.0,0.0,132434639,0.0,0.0,0.0,782612155,0.0,0.0,108.0,1.0,0.0,2016,0,0,0,1
Star Wars: Episode IV - A New Hope,1.0,1.0,0.0,11000000,0.0,0.0,1554475,0.0,0.0,1.0,307263857,0.0,0.0,121.0,1.0,0.0,1977,0,1,0,0
Guardians of the Galaxy,1.0,1.0,0.0,170000000,1.0,0.0,94320883,0.0,0.0,0.0,772776600,0.0,0.0,121.0,1.0,0.0,2014,0,0,1,0
The Da Vinci Code,0.0,0.0,0.0,125000000,0.0,0.0,77073388,0.0,0.0,0.0,760006945,1.0,0.0,149.0,0.0,1.0,2006,0,0,1,0
Fast & Furious Presents: Hobbs & Shaw,1.0,1.0,0.0,200000000,0.0,0.0,60038950,0.0,0.0,0.0,759056935,0.0,0.0,137.0,0.0,1.0,2019,0,0,0,0
Maleficent,1.0,1.0,0.0,180000000,0.0,0.0,69431298,0.0,1.0,1.0,758410378,0.0,1.0,97.0,0.0,0.0,2014,0,1,0,0
The Amazing Spider-Man,1.0,1.0,0.0,230000000,0.0,0.0,62004688,0.0,0.0,1.0,757930663,0.0,0.0,136.0,1.0,0.0,2012,0,0,1,0
The Hunger Games: Mockingjay - Part 1,1.0,1.0,0.0,125000000,0.0,0.0,121897634,0.0,0.0,0.0,755356711,0.0,0.0,123.0,1.0,1.0,2014,0,0,1,0
Shrek Forever After,0.0,1.0,1.0,165000000,1.0,0.0,70838207,0.0,1.0,1.0,752600867,0.0,1.0,93.0,0.0,0.0,2010,0,1,0,0
Madagascar 3: Europe's Most Wanted,0.0,1.0,1.0,145000000,1.0,0.0,60316738,0.0,1.0,0.0,746921274,0.0,0.0,95.0,0.0,0.0,2012,0,1,0,0
Suicide Squad,1.0,1.0,0.0,175000000,0.0,0.0,133682248,0.0,0.0,1.0,746846894,0.0,0.0,123.0,1.0,0.0,2016,0,0,1,0
X-Men: Days of Future Past,1.0,1.0,0.0,200000000,0.0,0.0,90823660,0.0,0.0,0.0,746045700,0.0,0.0,132.0,1.0,1.0,2014,0,0,1,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",0.0,1.0,0.0,180000000,0.0,0.0,65556312,0.0,1.0,1.0,745013115,0.0,0.0,143.0,0.0,0.0,2005,0,1,0,0
The Matrix Reloaded,1.0,0.0,0.0,150000000,0.0,0.0,91774413,0.0,0.0,0.0,739412035,0.0,0.0,138.0,1.0,0.0,2003,0,0,0,1
Up,0.0,1.0,1.0,175000000,1.0,0.0,68108790,1.0,1.0,0.0,735099082,0.0,0.0,96.0,0.0,0.0,2009,0,1,0,0
Gravity,0.0,1.0,0.0,100000000,0.0,0.0,55785112,1.0,0.0,0.0,723192705,0.0,0.0,91.0,1.0,1.0,2013,0,0,1,0
Captain America: The Winter Soldier,1.0,1.0,0.0,170000000,0.0,0.0,95023721,0.0,0.0,0.0,714421503,0.0,0.0,136.0,1.0,1.0,2014,0,0,1,0
The Twilight Saga: Breaking Dawn - Part 1,0.0,1.0,0.0,110000000,0.0,0.0,138122261,1.0,0.0,1.0,712205856,0.0,1.0,117.0,0.0,1.0,2011,0,0,1,0
The Twilight Saga: New Moon,0.0,1.0,0.0,50000000,0.0,0.0,142839137,1.0,0.0,1.0,709827462,0.0,1.0,130.0,0.0,0.0,2009,0,0,1,0
Dawn of the Planet of the Apes,1.0,1.0,0.0,170000000,0.0,0.0,72611427,1.0,0.0,0.0,710644566,0.0,0.0,130.0,1.0,0.0,2014,0,0,1,0
Transformers,1.0,1.0,0.0,150000000,0.0,0.0,70502384,0.0,0.0,0.0,709709780,0.0,0.0,144.0,1.0,0.0,2007,0,0,1,0
It,0.0,0.0,0.0,35000000,0.0,0.0,123403419,0.0,0.0,0.0,700381748,1.0,0.0,135.0,0.0,0.0,2017,0,0,0,1
Interstellar,0.0,1.0,0.0,165000000,0.0,0.0,47510360,1.0,0.0,0.0,677896797,0.0,0.0,169.0,1.0,0.0,2014,0,0,1,0
The Twilight Saga: Eclipse,1.0,1.0,0.0,68000000,0.0,0.0,64832191,1.0,0.0,1.0,698491347,0.0,1.0,124.0,0.0,1.0,2010,0,0,1,0
Mission: Impossible - Ghost Protocol,1.0,1.0,0.0,145000000,0.0,0.0,12785204,0.0,0.0,0.0,694713380,0.0,0.0,132.0,0.0,1.0,2011,0,0,1,0
The Hunger Games,1.0,1.0,0.0,78000000,0.0,0.0,152535747,0.0,0.0,0.0,694394724,0.0,0.0,142.0,1.0,1.0,2012,0,0,1,0
Mission: Impossible - Rogue Nation,1.0,1.0,0.0,150000000,0.0,0.0,55520089,0.0,0.0,0.0,682714267,0.0,0.0,131.0,0.0,1.0,2015,0,0,1,0
Forrest Gump,0.0,0.0,0.0,55000000,0.0,0.0,24450602,1.0,0.0,0.0,329694499,0.0,1.0,142.0,0.0,0.0,1994,0,0,1,0
Doctor Strange,1.0,1.0,0.0,165000000,0.0,0.0,85058311,0.0,0.0,1.0,677718395,0.0,0.0,115.0,1.0,0.0,2016,0,0,1,0
The Sixth Sense,0.0,0.0,0.0,40000000,0.0,0.0,26681262,1.0,0.0,0.0,672806292,1.0,0.0,107.0,0.0,1.0,1999,0,0,1,0
Man of Steel,1.0,1.0,0.0,225000000,0.0,0.0,116619362,0.0,0.0,0.0,668045518,0.0,0.0,143.0,1.0,0.0,2013,0,0,1,0
Ice Age: The Meltdown,0.0,1.0,1.0,80000000,1.0,0.0,68033544,0.0,1.0,0.0,660998756,0.0,0.0,91.0,0.0,0.0,2006,0,1,0,0
Kung Fu Panda 2,1.0,1.0,1.0,150000000,1.0,0.0,47656302,1.0,1.0,1.0,665692281,0.0,0.0,90.0,0.0,0.0,2011,0,1,0,0
The Hunger Games: Mockingjay - Part 2,1.0,1.0,0.0,160000000,0.0,0.0,102665981,0.0,0.0,0.0,658344137,0.0,0.0,137.0,1.0,1.0,2015,0,0,1,0
Big Hero 6,1.0,1.0,1.0,165000000,1.0,0.0,56215889,1.0,1.0,0.0,657827828,0.0,0.0,102.0,1.0,0.0,2014,0,1,0,0
