title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
Spider-Man: Far from Home,1.0,1.0,,160000000,,,Sony Pictures Entertainment (SPE),92579212,,,,PG-13,1131927996,,,129.0,1.0,,2019
Captain Marvel,1.0,1.0,,160000000,,,Walt Disney Studios Motion Pictures,153433423,,,,PG-13,1128274794,,,123.0,1.0,,2019
Transformers: Dark of the Moon,1.0,1.0,,195000000,,,DreamWorks,97852865,,,,PG-13,1123794079,,,154.0,1.0,,2011
Skyfall,1.0,1.0,,200000000,,,Sony Pictures Entertainment (SPE),88364714,,,,PG-13,1108561013,,,143.0,,1.0,2012
Transformers: Age of Extinction,1.0,1.0,,210000000,,,Paramount Pictures,100038390,,,,PG-13,1104054072,,,165.0,1.0,,2014
The Dark Knight Rises,1.0,,,250000000,,,Warner Bros.,160887295,,,,PG-13,1081041287,,,164.0,,,2012
Star Wars: Episode IX - The Rise of Skywalker,1.0,1.0,,275000000,,,Walt Disney Studios Motion Pictures,177383864,,,1.0,PG-13,1074144248,,,141.0,1.0,,2019
Joker,,,,55000000,,1.0,Warner Bros.,96202337,1.0,,,R,1074251311,,,122.0,,1.0,2019
Toy Story 4,,1.0,1.0,200000000,1.0,,Walt Disney Studios Motion Pictures,120908065,,1.0,1.0,G,1073394593,,,100.0,,,2019
Toy Story 3,,1.0,1.0,200000000,1.0,,Walt Disney Studios Motion Pictures,110307189,,1.0,1.0,,1066969703,,,103.0,,,2010
Pirates of the Caribbean: Dead Man's Chest,1.0,1.0,,225000000,,,Walt Disney Studios Motion Pictures,135634554,,,1.0,PG-13,1066179725,,,151.0,,,2006
Rogue One: A Star Wars Story,1.0,1.0,,200000000,,,Walt Disney Studios Motion Pictures,155081681,,,,PG-13,1056057273,,,133.0,1.0,,2016
Aladdin,,1.0,1.0,28000000,1.0,,Walt Disney Studios Motion Pictures,196664,,1.0,1.0,,346476295,1.0,1.0,90.0,,,1992
Pirates of the Caribbean: On Stranger Tides,1.0,1.0,,250000000,,,Walt Disney Studios Motion Pictures,90151958,,,1.0,PG-13,1045713802,,,137.0,,,2011
Despicable Me 3,,1.0,1.0,80000000,1.0,1.0,Universal Pictures,72434025,,1.0,,PG,1034799409,,,89.0,1.0,,2017
Jurassic Park,1.0,1.0,,63000000,,,Universal Pictures,47026828,,,,PG-13,912667947,,,127.0,1.0,1.0,1993
Star Wars: Episode I - The Phantom Menace,1.0,1.0,,115000000,,,Twentieth Century Fox,64820970,,,1.0,PG,924305084,,,136.0,1.0,,1999
Alice in Wonderland,,1.0,,200000000,,,Walt Disney Studios Motion Pictures,116101023,,1.0,1.0,PG,1025467110,,,108.0,,,2010
Harry Potter and the Sorcerer's Stone,,1.0,,125000000,,,Warner Bros.,90294621,,1.0,1.0,PG,974755371,,,152.0,,,2001
The Dark Knight,1.0,,,185000000,,1.0,Warner Bros.,158411483,1.0,,,PG-13,1003045358,,,152.0,,1.0,2008
Despicable Me 2,,1.0,1.0,76000000,1.0,1.0,Universal Pictures,83517315,,1.0,,PG,970766005,,,98.0,1.0,,2013
Jumanji: Welcome to the Jungle,1.0,1.0,,90000000,1.0,,Sony Pictures Entertainment (SPE),36169328,,,1.0,PG-13,962077546,,,119.0,,,2017
Pirates of the Caribbean: At World's End,1.0,1.0,,300000000,,,Walt Disney Studios Motion Pictures,114732820,,,1.0,PG-13,960996492,,,169.0,,,2007
The Lord of the Rings: The Two Towers,1.0,1.0,,94000000,,,New Line Cinema,62007528,1.0,,1.0,PG-13,936689735,,,179.0,,,2002
Harry Potter and the Order of the Phoenix,1.0,1.0,,150000000,,,Warner Bros.,77108414,,1.0,1.0,PG-13,941676843,1.0,,138.0,,,2007
Finding Nemo,,1.0,1.0,94000000,1.0,,Walt Disney Studios Motion Pictures,70251710,,1.0,,,871014978,,,100.0,,,2003
Harry Potter and the Half-Blood Prince,1.0,1.0,,250000000,,,Warner Bros.,77835727,,1.0,1.0,PG,933959197,1.0,,153.0,,,2009
Shrek 2,,1.0,1.0,150000000,1.0,,DreamWorks Distribution,108037878,,1.0,1.0,PG,928760770,,1.0,93.0,,,2004
Bohemian Rhapsody,,,,52000000,,,Twentieth Century Fox,51061119,1.0,,,PG-13,903655259,1.0,,134.0,,,2018
The Lord of the Rings: The Fellowship of the Ring,1.0,1.0,,93000000,,,New Line Cinema,47211490,1.0,,1.0,PG-13,880839846,,,178.0,,,2001
Harry Potter and the Goblet of Fire,,1.0,,150000000,,,Warner Bros.,102685961,,1.0,1.0,PG-13,895921036,1.0,,157.0,,,2005
Spider-Man 3,1.0,1.0,,258000000,,,Sony Pictures Entertainment (SPE),151116516,,,,PG-13,894983373,,,139.0,1.0,,2007
Ice Age: Dawn of the Dinosaurs,,1.0,1.0,90000000,1.0,,Twentieth Century Fox,41690382,1.0,1.0,,PG,886686817,,,94.0,,,2009
Spectre,1.0,1.0,,245000000,,,Sony Pictures Entertainment (SPE),70403148,,,,PG-13,880674609,,,148.0,,1.0,2015
