link_stub,title,World Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,year,Domestic Distributor,Domestic Opening,budget,MPAA,Running Time,genres,Original Release Domestic,Original Release International,Original Release Worldwide
/title/tt0499549/?ref_=bo_cso_table_1,Avatar,"$2,847,246,203","$760,507,625",26.7%,"$2,086,738,578",73.3%,2009,"Twentieth Century Fox

",77025481,237000000,PG-13,162,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",749766139,1993811448,2743577587
/title/tt4154796/?ref_=bo_cso_table_2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,"Walt Disney Studios Motion Pictures

",357115007,356000000,PG-13,181,"['Action', 'Adventure', 'Drama', 'Science fiction']",858373000,1939128328,2797501328
/title/tt0120338/?ref_=bo_cso_table_3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,"Paramount Pictures

",28638131,200000000,PG-13,194,"['Drama', 'Romance']",600788188,1242690261,1843478449
/title/tt2488496/?ref_=bo_cso_table_4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,"Walt Disney Studios Motion Pictures

",247966675,245000000,PG-13,138,"['Action', 'Adventure', 'Science fiction']",936662225,1131561399,2068223624
/title/tt4154756/?ref_=bo_cso_table_5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,"Walt Disney Studios Motion Pictures

",257698183,0,PG-13,149,"['Action', 'Adventure', 'Science fiction']",678815482,1369544272,2048359754
/title/tt0369610/?ref_=bo_cso_table_6,Jurassic World,"$1,670,516,444","$652,385,625",39%,"$1,018,130,819",61%,2015,"Universal Pictures

",208806270,150000000,PG-13,124,"['Action', 'Adventure', 'Science fiction']",652270625,1018130012,1670400637
/title/tt0110357/?ref_=bo_cso_table_36,The Lion King,"$1,063,611,805","$422,783,777",39.8%,"$640,828,028",60.2%,1994,"Walt Disney Studios Motion Pictures

",1586753,45000000,G,88,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",312855561,545700000,858555561
/title/tt0848228/?ref_=bo_cso_table_8,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,"Walt Disney Studios Motion Pictures

",207438708,220000000,PG-13,143,"['Action', 'Adventure', 'Science fiction']",623357910,895455078,1518812988
/title/tt2820852/?ref_=bo_cso_table_9,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,"Universal Pictures

",147187040,190000000,PG-13,137,"['Action', 'Adventure', 'Thriller']",353007020,1162040651,1515047671
/title/tt4520988/?ref_=bo_cso_table_10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,"Walt Disney Studios Motion Pictures

",130263358,150000000,PG,103,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",477373578,972653355,1450026933
/title/tt2395427/?ref_=bo_cso_table_11,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015,"Walt Disney Studios Motion Pictures

",191271109,250000000,PG-13,141,"['Action', 'Adventure', 'Science fiction']",459005868,943800000,1402805868
/title/tt1825683/?ref_=bo_cso_table_12,Black Panther,"$1,347,597,973","$700,426,566",52%,"$647,171,407",48%,2018,"Walt Disney Studios Motion Pictures

",202003951,0,PG-13,134,"['Action', 'Adventure', 'Science fiction']",700059566,646853595,1346913161
/title/tt1201607/?ref_=bo_cso_table_13,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665","$381,409,310",28.4%,"$960,912,355",71.6%,2011,"Warner Bros.

",169189427,0,PG-13,130,"['Adventure', 'Fantasy', 'Mystery']",381011219,960500000,1341511219
/title/tt2527336/?ref_=bo_cso_table_14,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830","$620,181,382",46.5%,"$712,517,448",53.5%,2017,"Walt Disney Studios Motion Pictures

",220009584,317000000,PG-13,152,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",620181382,712358507,1332539889
/title/tt4881806/?ref_=bo_cso_table_15,Jurassic World: Fallen Kingdom,"$1,310,466,296","$417,719,760",31.9%,"$892,746,536",68.1%,2018,"Universal Pictures

",148024610,170000000,PG-13,128,"['Action', 'Adventure', 'Science fiction']",417719760,890748184,1308467944
/title/tt2294629/?ref_=bo_cso_table_16,Frozen,"$1,281,508,100","$400,953,009",31.3%,"$880,555,091",68.7%,2013,"Walt Disney Studios Motion Pictures

",243390,150000000,PG,102,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",400738009,880064273,1280802282
/title/tt0101414/?ref_=bo_cso_table_88,Beauty and the Beast,"$424,967,620","$218,967,620",51.5%,"$206,000,000",48.5%,1991,"Walt Disney Studios Motion Pictures

",162146,25000000,,84,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",145863363,102939158,248802521
/title/tt3606756/?ref_=bo_cso_table_18,Incredibles 2,"$1,244,639,527","$608,581,744",48.9%,"$636,057,783",51.1%,2018,"Walt Disney Studios Motion Pictures

",182687905,0,PG,118,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Science fiction']",608581744,634223615,1242805359
/title/tt4630562/?ref_=bo_cso_table_19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,"Universal Pictures

",98786705,250000000,PG-13,136,"['Action', 'Adventure', 'Crime', 'Thriller']",226008385,1009996733,1236005118
/title/tt1300854/?ref_=bo_cso_table_20,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013,"Walt Disney Studios Motion Pictures

",174144585,200000000,PG-13,130,"['Action', 'Adventure', 'Science fiction']",409013994,805797258,1214811252
/title/tt2293640/?ref_=bo_cso_table_21,Minions,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%,2015,"Universal Pictures

",115718405,74000000,PG,91,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",336045770,823352627,1159398397
/title/tt3498820/?ref_=bo_cso_table_22,Captain America: Civil War,"$1,153,337,496","$408,084,349",35.4%,"$745,253,147",64.6%,2016,"Walt Disney Studios Motion Pictures

",179139142,250000000,PG-13,147,"['Action', 'Adventure', 'Science fiction']",408084349,745211944,1153296293
/title/tt1477834/?ref_=bo_cso_table_23,Aquaman,"$1,148,485,886","$335,061,807",29.2%,"$813,424,079",70.8%,2018,"Warner Bros.

",67873522,0,PG-13,143,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",335061807,813400000,1148461807
/title/tt0167260/?ref_=bo_cso_table_24,The Lord of the Rings: The Return of the King,"$1,146,030,912","$377,845,905",33%,"$768,185,007",67%,2003,"New Line Cinema

",72629713,94000000,PG-13,201,"['Action', 'Adventure', 'Drama', 'Fantasy']",377027325,763654686,1140682011
/title/tt6320628/?ref_=bo_cso_table_25,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,"Sony Pictures Entertainment (SPE)

",92579212,160000000,PG-13,129,"['Action', 'Adventure', 'Science fiction']",390532085,741395911,1131927996
/title/tt4154664/?ref_=bo_cso_table_26,Captain Marvel,"$1,128,462,972","$426,829,839",37.8%,"$701,633,133",62.2%,2019,"Walt Disney Studios Motion Pictures

",153433423,160000000,PG-13,123,"['Action', 'Adventure', 'Science fiction']",426829839,701444955,1128274794
/title/tt1399103/?ref_=bo_cso_table_27,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011,"DreamWorks

",97852865,195000000,PG-13,154,"['Action', 'Adventure', 'Science fiction']",352390543,771403536,1123794079
/title/tt1074638/?ref_=bo_cso_table_28,Skyfall,"$1,108,569,499","$304,360,277",27.5%,"$804,209,222",72.5%,2012,"Sony Pictures Entertainment (SPE)

",88364714,200000000,PG-13,143,"['Action', 'Adventure', 'Thriller']",304360277,804200736,1108561013
/title/tt2109248/?ref_=bo_cso_table_29,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014,"Paramount Pictures

",100038390,210000000,PG-13,165,"['Action', 'Adventure', 'Science fiction']",245439076,858614996,1104054072
/title/tt1345836/?ref_=bo_cso_table_30,The Dark Knight Rises,"$1,081,142,612","$448,139,099",41.4%,"$633,003,513",58.6%,2012,"Warner Bros.

",160887295,250000000,PG-13,164,['Action'],448139099,632902188,1081041287
/title/tt2527338/?ref_=bo_cso_table_31,Star Wars: Episode IX - The Rise of Skywalker,"$1,078,232,589","$515,202,542",47.8%,"$563,030,047",52.2%,2019,"Walt Disney Studios Motion Pictures

",177383864,275000000,PG-13,141,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",515202542,558941706,1074144248
/title/tt7286456/?ref_=bo_cso_table_32,Joker,"$1,074,419,384","$335,451,311",31.2%,"$738,968,073",68.8%,2019,"Warner Bros.

",96202337,55000000,R,122,"['Crime', 'Drama', 'Thriller']",335451311,738800000,1074251311
/title/tt1979376/?ref_=bo_cso_table_33,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,"Walt Disney Studios Motion Pictures

",120908065,200000000,G,100,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",434038008,639356585,1073394593
/title/tt0435761/?ref_=bo_cso_table_34,Toy Story 3,"$1,066,970,811","$415,004,880",38.9%,"$651,965,931",61.1%,2010,"Walt Disney Studios Motion Pictures

",110307189,200000000,,103,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",415004880,651964823,1066969703
/title/tt0383574/?ref_=bo_cso_table_35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747","$423,315,812",39.7%,"$642,863,935",60.3%,2006,"Walt Disney Studios Motion Pictures

",135634554,225000000,PG-13,151,"['Action', 'Adventure', 'Fantasy']",423315812,642863913,1066179725
/title/tt3748528/?ref_=bo_cso_table_37,Rogue One: A Star Wars Story,"$1,056,057,720","$532,177,324",50.4%,"$523,880,396",49.6%,2016,"Walt Disney Studios Motion Pictures

",155081681,200000000,PG-13,133,"['Action', 'Adventure', 'Science fiction']",532177324,523879949,1056057273
/title/tt0103639/?ref_=bo_cso_table_15,Aladdin,"$504,050,219","$217,350,219",43.1%,"$286,700,000",56.9%,1992,"Walt Disney Studios Motion Pictures

",196664,28000000,,90,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",217350219,129126076,346476295
/title/tt1298650/?ref_=bo_cso_table_39,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23%,"$804,642,000",77%,2011,"Walt Disney Studios Motion Pictures

",90151958,250000000,PG-13,137,"['Action', 'Adventure', 'Fantasy']",241071802,804642000,1045713802
/title/tt3469046/?ref_=bo_cso_table_40,Despicable Me 3,"$1,034,800,131","$264,624,300",25.6%,"$770,175,831",74.4%,2017,"Universal Pictures

",72434025,80000000,PG,89,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",264624300,770175109,1034799409
/title/tt0107290/?ref_=bo_cso_table_41,Jurassic Park,"$1,033,928,303","$404,214,720",39.1%,"$629,713,583",60.9%,1993,"Universal Pictures

",47026828,63000000,PG-13,127,"['Action', 'Adventure', 'Science fiction', 'Thriller']",357067947,555600000,912667947
/title/tt2277860/?ref_=bo_cso_table_42,Finding Dory,"$1,028,570,942","$486,295,561",47.3%,"$542,275,381",52.7%,2016,"Walt Disney Studios Motion Pictures

",135060273,0,PG,97,"['Adventure', 'Animation', 'Comedy', 'Family']",486295561,542275328,1028570889
/title/tt0120915/?ref_=bo_cso_table_43,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707","$474,544,677",46.2%,"$552,538,030",53.8%,1999,"Twentieth Century Fox

",64820970,115000000,PG,136,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",431088295,493216789,924305084
/title/tt1014759/?ref_=bo_cso_table_44,Alice in Wonderland,"$1,025,468,216","$334,191,110",32.6%,"$691,277,106",67.4%,2010,"Walt Disney Studios Motion Pictures

",116101023,200000000,PG,108,"['Adventure', 'Family', 'Fantasy']",334191110,691276000,1025467110
/title/tt2948356/?ref_=bo_cso_table_45,Zootopia,"$1,024,121,104","$341,268,248",33.3%,"$682,852,856",66.7%,2016,"Walt Disney Studios Motion Pictures

",75063401,0,PG,108,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",341268248,682515947,1023784195
/title/tt0903624/?ref_=bo_cso_table_46,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%,2012,"Warner Bros.

",84617303,0,PG-13,169,"['Adventure', 'Fantasy']",303003568,714000000,1017003568
/title/tt0241527/?ref_=bo_cso_table_47,Harry Potter and the Sorcerer's Stone,"$1,009,281,898","$318,087,620",31.5%,"$691,194,278",68.5%,2001,"Warner Bros.

",90294621,125000000,PG,152,"['Adventure', 'Family', 'Fantasy']",317575550,657179821,974755371
/title/tt0468569/?ref_=bo_cso_table_48,The Dark Knight,"$1,005,973,645","$534,858,444",53.2%,"$471,115,201",46.8%,2008,"Warner Bros.

",158411483,185000000,PG-13,152,"['Action', 'Crime', 'Drama', 'Thriller']",533345358,469700000,1003045358
/title/tt0926084/?ref_=bo_cso_table_49,Harry Potter and the Deathly Hallows: Part 1,"$977,043,483","$296,347,721",30.3%,"$680,695,762",69.7%,2010,"Warner Bros.

",125017372,0,PG-13,146,"['Adventure', 'Fantasy', 'Mystery']",295983305,680553613,976536918
/title/tt1690953/?ref_=bo_cso_table_50,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013,"Universal Pictures

",83517315,76000000,PG,98,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Science fiction']",368065385,602700620,970766005
/title/tt0061852/?ref_=bo_cso_table_8,The Jungle Book,"$205,843,612","$141,843,612",68.9%,"$64,000,000",31.1%,1967,"Walt Disney Studios Motion Pictures

",0,0,G,78,"['Adventure', 'Animation', 'Family', 'Musical']",73741048,0,73741048
/title/tt2283362/?ref_=bo_cso_table_52,Jumanji: Welcome to the Jungle,"$962,542,945","$404,540,171",42%,"$558,002,774",58%,2017,"Sony Pictures Entertainment (SPE)

",36169328,90000000,PG-13,119,"['Action', 'Adventure', 'Comedy', 'Fantasy']",404515480,557562066,962077546
/title/tt2310332/?ref_=bo_cso_table_53,The Hobbit: The Battle of the Five Armies,"$962,182,865","$255,119,788",26.5%,"$707,063,077",73.5%,2014,"Warner Bros.

",54724334,0,PG-13,144,"['Adventure', 'Fantasy']",255119788,700900000,956019788
/title/tt0449088/?ref_=bo_cso_table_54,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8%,2007,"Walt Disney Studios Motion Pictures

",114732820,300000000,PG-13,169,"['Action', 'Adventure', 'Fantasy']",309420425,651576067,960996492
/title/tt1170358/?ref_=bo_cso_table_55,The Hobbit: The Desolation of Smaug,"$959,007,513","$258,366,855",26.9%,"$700,640,658",73.1%,2013,"Warner Bros.

",73645197,0,PG-13,161,"['Adventure', 'Fantasy']",258366855,700000000,958366855
/title/tt0167261/?ref_=bo_cso_table_56,The Lord of the Rings: The Two Towers,"$947,495,095","$342,551,365",36.2%,"$604,943,730",63.8%,2002,"New Line Cinema

",62007528,94000000,PG-13,179,"['Action', 'Adventure', 'Drama', 'Fantasy']",339789881,596899854,936689735
/title/tt0373889/?ref_=bo_cso_table_57,Harry Potter and the Order of the Phoenix,"$942,172,396","$292,353,413",31%,"$649,818,983",69%,2007,"Warner Bros.

",77108414,150000000,PG-13,138,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",292004738,649672105,941676843
/title/tt0266543/?ref_=bo_cso_table_58,Finding Nemo,"$940,352,645","$380,843,261",40.5%,"$559,509,384",59.5%,2003,"Walt Disney Studios Motion Pictures

",70251710,94000000,,100,"['Adventure', 'Animation', 'Comedy', 'Family']",339714978,531300000,871014978
/title/tt0417741/?ref_=bo_cso_table_59,Harry Potter and the Half-Blood Prince,"$934,454,096","$302,305,431",32.4%,"$632,148,665",67.6%,2009,"Warner Bros.

",77835727,250000000,PG,153,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",301959197,632000000,933959197
/title/tt0298148/?ref_=bo_cso_table_60,Shrek 2,"$928,760,770","$441,226,247",47.5%,"$487,534,523",52.5%,2004,"DreamWorks Distribution

",108037878,150000000,PG,93,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",441226247,487534523,928760770
/title/tt1727824/?ref_=bo_cso_table_61,Bohemian Rhapsody,"$911,100,727","$216,668,042",23.8%,"$694,432,685",76.2%,2018,"Twentieth Century Fox

",51061119,52000000,PG-13,134,"['Biography', 'Drama', 'Music']",216428042,687227217,903655259
/title/tt0120737/?ref_=bo_cso_table_62,The Lord of the Rings: The Fellowship of the Ring,"$897,690,072","$315,710,750",35.2%,"$581,979,322",64.8%,2001,"New Line Cinema

",47211490,93000000,PG-13,178,"['Action', 'Adventure', 'Drama', 'Fantasy']",313364114,567475732,880839846
/title/tt0330373/?ref_=bo_cso_table_63,Harry Potter and the Goblet of Fire,"$896,678,241","$290,417,905",32.4%,"$606,260,336",67.6%,2005,"Warner Bros.

",102685961,150000000,PG-13,157,"['Adventure', 'Family', 'Fantasy', 'Mystery']",290013036,605908000,895921036
/title/tt0413300/?ref_=bo_cso_table_64,Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%,2007,"Sony Pictures Entertainment (SPE)

",151116516,258000000,PG-13,139,"['Action', 'Adventure', 'Science fiction']",336530303,558453070,894983373
/title/tt1080016/?ref_=bo_cso_table_65,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%,2009,"Twentieth Century Fox

",41690382,90000000,PG,94,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",196573705,690113112,886686817
/title/tt2379713/?ref_=bo_cso_table_66,Spectre,"$880,681,519","$200,074,609",22.7%,"$680,606,910",77.3%,2015,"Sony Pictures Entertainment (SPE)

",70403148,245000000,PG-13,148,"['Action', 'Adventure', 'Thriller']",200074609,680600000,880674609
/title/tt2250912/?ref_=bo_cso_table_67,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%,2017,"Sony Pictures Entertainment (SPE)

",117027503,175000000,PG-13,133,"['Action', 'Adventure', 'Science fiction']",334201140,545965784,880166924
/title/tt0295297/?ref_=bo_cso_table_68,Harry Potter and the Chamber of Secrets,"$879,602,366","$262,450,136",29.8%,"$617,152,230",70.2%,2002,"Warner Bros.

",88357488,100000000,PG,161,"['Adventure', 'Family', 'Fantasy', 'Mystery']",261988482,616991152,878979634
/title/tt1667889/?ref_=bo_cso_table_69,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012,"Twentieth Century Fox

",46629259,95000000,PG,88,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",161321843,715922939,877244782
/title/tt2709768/?ref_=bo_cso_table_70,The Secret Life of Pets,"$875,458,631","$368,384,330",42.1%,"$507,074,301",57.9%,2016,"Universal Pictures

",104352905,75000000,PG,87,"['Adventure', 'Animation', 'Comedy', 'Family']",368384330,507073607,875457937
/title/tt2975590/?ref_=bo_cso_table_71,Batman v Superman: Dawn of Justice,"$873,637,528","$330,360,194",37.8%,"$543,277,334",62.2%,2016,"Warner Bros.

",166007347,250000000,PG-13,152,"['Action', 'Adventure', 'Science fiction']",330360194,543274725,873634919
/title/tt7131870/?ref_=bo_cso_table_72,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017,"The H Collective

",219022,30100000,,123,"['Action', 'Adventure', 'Drama', 'Thriller', 'War']",2721100,867604339,870325439
/title/tt0121766/?ref_=bo_cso_table_73,Star Wars: Episode III - Revenge of the Sith,"$868,390,560","$380,270,577",43.8%,"$488,119,983",56.2%,2005,"Twentieth Century Fox

",108435841,113000000,PG-13,140,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",380270577,488081953,868352530
/title/tt1951264/?ref_=bo_cso_table_74,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013,"Lionsgate

",158074286,130000000,PG-13,146,"['Action', 'Drama', 'Mystery', 'Science fiction', 'Thriller']",424668047,440343699,865011746
/title/tt3896198/?ref_=bo_cso_table_75,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,2017,"Walt Disney Studios Motion Pictures

",146510104,200000000,PG-13,136,"['Action', 'Adventure', 'Comedy', 'Science fiction']",389813101,473942950,863756051
/title/tt2096673/?ref_=bo_cso_table_76,Inside Out,"$858,848,019","$356,921,711",41.6%,"$501,926,308",58.4%,2015,"Walt Disney Studios Motion Pictures

",90440272,175000000,PG,95,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",356461711,501149463,857611174
/title/tt1270797/?ref_=bo_cso_table_77,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018,"Sony Pictures Entertainment (SPE)

",80255756,100000000,PG-13,112,"['Action', 'Adventure', 'Science fiction']",213515506,642569645,856085151
/title/tt3501632/?ref_=bo_cso_table_78,Thor: Ragnarok,"$853,983,911","$315,058,289",36.9%,"$538,925,622",63.1%,2017,"Walt Disney Studios Motion Pictures

",122744989,180000000,PG-13,130,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science fiction']",315058289,538918837,853977126
/title/tt1375666/?ref_=bo_cso_table_79,Inception,"$836,836,967","$292,576,195",35%,"$544,260,772",65%,2010,"Warner Bros.

",62785337,160000000,PG-13,148,"['Action', 'Adventure', 'Science fiction', 'Thriller']",292576195,533560993,826137188
/title/tt1055369/?ref_=bo_cso_table_80,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%,2009,"DreamWorks

",108966307,200000000,PG-13,149,"['Action', 'Adventure', 'Science fiction']",402111870,434191823,836303693
/title/tt1673434/?ref_=bo_cso_table_81,The Twilight Saga: Breaking Dawn - Part 2,"$829,747,654","$292,324,737",35.2%,"$537,422,917",64.8%,2012,"Lionsgate

",141067634,120000000,PG-13,115,"['Adventure', 'Drama', 'Fantasy', 'Romance']",292324737,537422083,829746820
/title/tt0145487/?ref_=bo_cso_table_82,Spider-Man,"$825,025,036","$407,022,860",49.3%,"$418,002,176",50.7%,2002,"Sony Pictures Entertainment (SPE)

",114844116,139000000,PG-13,121,"['Action', 'Adventure', 'Science fiction']",403706375,418002176,821708551
/title/tt0451279/?ref_=bo_cso_table_83,Wonder Woman,"$822,824,522","$412,815,408",50.2%,"$410,009,114",49.8%,2017,"Warner Bros.

",103251471,149000000,PG-13,141,"['Action', 'Adventure', 'Fantasy', 'Science fiction', 'War']",412563408,409283604,821847012
/title/tt13364790/?ref_=bo_cso_table_84,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021,,0,0,,128,"['Comedy', 'Drama', 'Fantasy']",0,822009764,822009764
/title/tt0116629/?ref_=bo_cso_table_85,Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%,1996,"Twentieth Century Fox

",50228264,75000000,PG-13,145,"['Action', 'Adventure', 'Science fiction']",306169268,511231623,817400891
/title/tt3183660/?ref_=bo_cso_table_86,Fantastic Beasts and Where to Find Them,"$814,044,001","$234,037,575",28.8%,"$580,006,426",71.2%,2016,"Warner Bros.

",74403387,180000000,PG-13,132,"['Adventure', 'Family', 'Fantasy']",234037575,580000000,814037575
/title/tt0413267/?ref_=bo_cso_table_87,Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%,2007,"DreamWorks

",121629270,160000000,PG,93,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",322719944,490647436,813367380
/title/tt2380307/?ref_=bo_cso_table_88,Coco,"$807,817,888","$210,460,015",26%,"$597,357,873",74%,2017,"Walt Disney Studios Motion Pictures

",50802605,0,PG,105,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Mystery']",210460015,597356181,807816196
/title/tt7975244/?ref_=bo_cso_table_89,Jumanji: The Next Level,"$800,059,707","$320,314,960",40%,"$479,744,747",60%,2019,"Sony Pictures Entertainment (SPE)

",59251543,125000000,PG-13,123,"['Action', 'Adventure', 'Comedy', 'Fantasy']",320314960,479744747,800059707
/title/tt0304141/?ref_=bo_cso_table_90,Harry Potter and the Prisoner of Azkaban,"$797,361,618","$249,975,996",31.4%,"$547,385,622",68.6%,2004,"Warner Bros.

",93687367,130000000,PG,142,"['Adventure', 'Family', 'Fantasy', 'Mystery']",249541069,546093000,795634069
/title/tt1790809/?ref_=bo_cso_table_91,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,881,442","$172,558,876",21.7%,"$622,322,566",78.3%,2017,"Walt Disney Studios Motion Pictures

",62983253,230000000,PG-13,129,"['Action', 'Adventure', 'Fantasy']",172558876,622302918,794861794
/title/tt0083866/?ref_=bo_cso_table_92,E.T. the Extra-Terrestrial,"$792,910,554","$435,110,554",54.9%,"$357,800,000",45.1%,1982,"Universal Pictures

",11835389,10500000,PG,115,"['Family', 'Science fiction']",359197037,0,359197037
/title/tt4912910/?ref_=bo_cso_table_93,Mission: Impossible - Fallout,"$791,657,398","$220,159,104",27.8%,"$571,498,294",72.2%,2018,"Paramount Pictures

",61236534,178000000,PG-13,147,"['Action', 'Adventure', 'Thriller']",220159104,570956000,791115104
/title/tt1190080/?ref_=bo_cso_table_94,2012,"$791,217,826","$166,112,167",21%,"$625,105,659",79%,2009,"Sony Pictures Entertainment (SPE)

",65237614,200000000,PG-13,158,"['Action', 'Adventure', 'Science fiction']",166112167,603567306,769679473
/title/tt0367882/?ref_=bo_cso_table_95,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942","$317,101,119",40.1%,"$473,552,823",59.9%,2008,"Paramount Pictures

",100137835,185000000,PG-13,122,"['Action', 'Adventure']",317101119,473552823,790653942
/title/tt0316654/?ref_=bo_cso_table_96,Spider-Man 2,"$788,976,453","$373,585,825",47.4%,"$415,390,628",52.6%,2004,"Sony Pictures Entertainment (SPE)

",88156227,200000000,PG-13,127,"['Action', 'Adventure', 'Science fiction']",373585825,415390628,788976453
/title/tt1905041/?ref_=bo_cso_table_97,Fast & Furious 6,"$788,680,968","$238,679,850",30.3%,"$550,001,118",69.7%,2013,"Universal Pictures

",97375245,160000000,PG-13,130,"['Action', 'Adventure', 'Thriller']",238679850,550000000,788679850
/title/tt5463162/?ref_=bo_cso_table_98,Deadpool 2,"$786,470,484","$324,591,735",41.3%,"$461,878,749",58.7%,2018,"Twentieth Century Fox

",125507153,110000000,R,119,"['Action', 'Adventure', 'Comedy', 'Science fiction']",318491426,416055185,734546611
/title/tt1431045/?ref_=bo_cso_table_99,Deadpool,"$782,836,791","$363,070,709",46.4%,"$419,766,082",53.6%,2016,"Twentieth Century Fox

",132434639,58000000,R,108,"['Action', 'Adventure', 'Comedy', 'Science fiction']",363070709,419541446,782612155
/title/tt0076759/?ref_=bo_cso_table_100,Star Wars: Episode IV - A New Hope,"$775,398,007","$460,998,507",59.4%,"$314,399,500",40.6%,1977,"Twentieth Century Fox

",1554475,11000000,PG,121,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",307263857,0,307263857
