link_stub,title,World Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,year,Domestic Distributor,Domestic Opening,budget,MPAA,Running Time,genres,Original Release Domestic,Original Release International,Original Release Worldwide
/title/tt1059786/?ref_=bo_cso_table_150,Eagle Eye,"$178,767,383","$101,440,743",56.7%,"$77,326,640",43.3%,2008,"DreamWorks

",29150721,80000000,PG-13,118,"['Action', 'Mystery', 'Thriller']",101440743,77326640,178767383
/title/tt0343135/?ref_=bo_cso_table_151,Along Came Polly,"$178,311,729","$88,097,164",49.4%,"$90,214,565",50.6%,2004,"Universal Pictures

",27721185,42000000,PG-13,90,"['Comedy', 'Romance']",88097164,90214565,178311729
/title/tt0424095/?ref_=bo_cso_table_152,Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%,2006,"DreamWorks

",18814323,149000000,PG,85,"['Adventure', 'Animation', 'Comedy', 'Family', 'Romance']",64665672,113615882,178281554
/title/tt0362120/?ref_=bo_cso_table_153,Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%,2006,Dimension Films,40222875,45000000,PG-13,83,['Comedy'],90710620,87552000,178262620
/title/tt0118928/?ref_=bo_cso_table_154,Dante's Peak,"$178,127,760","$67,127,760",37.7%,"$111,000,000",62.3%,1997,"Universal Pictures

",18479435,116000000,PG-13,108,"['Action', 'Adventure', 'Thriller']",67127760,111000000,178127760
/title/tt0388795/?ref_=bo_cso_table_155,Brokeback Mountain,"$178,062,759","$83,043,761",46.6%,"$95,018,998",53.4%,2005,"Focus Features

",547425,14000000,R,134,"['Drama', 'Romance']",83043761,95018998,178062759
/title/tt0105112/?ref_=bo_cso_table_156,Patriot Games,"$178,051,587","$83,351,587",46.8%,"$94,700,000",53.2%,1992,"Paramount Pictures

",18511191,45000000,R,117,"['Action', 'Thriller']",83351587,94700000,178051587
/title/tt0119137/?ref_=bo_cso_table_157,Flubber,"$177,977,226","$92,977,226",52.2%,"$85,000,000",47.8%,1997,"Walt Disney Studios Motion Pictures

",26725207,0,PG,93,"['Comedy', 'Family', 'Science fiction']",92977226,85000000,177977226
/title/tt1469304/?ref_=bo_cso_table_158,Baywatch,"$177,856,751","$58,060,186",32.6%,"$119,796,565",67.4%,2017,"Paramount Pictures

",18503871,69000000,R,116,"['Action', 'Comedy', 'Crime']",58060186,119796565,177856751
/title/tt0150377/?ref_=bo_cso_table_159,Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%,1999,"Paramount Pictures

",23162542,70000000,R,105,"['Crime', 'Drama', 'Mystery', 'Thriller']",116741558,61100000,177841558
/title/tt1568911/?ref_=bo_cso_table_160,War Horse,"$177,584,879","$79,884,879",45%,"$97,700,000",55%,2011,"Walt Disney Studios Motion Pictures

",7515402,66000000,PG-13,146,"['Action', 'Adventure', 'Drama', 'History', 'War']",79884879,97700000,177584879
/title/tt1536044/?ref_=bo_cso_table_161,Paranormal Activity 2,"$177,512,032","$84,752,907",47.7%,"$92,759,125",52.3%,2010,"Paramount Pictures

",40678424,3000000,R,91,"['Horror', 'Mystery']",84752907,92759125,177512032
/title/tt0251127/?ref_=bo_cso_table_162,How to Lose a Guy in 10 Days,"$177,502,387","$105,813,373",59.6%,"$71,689,014",40.4%,2003,"Paramount Pictures

",23774850,0,PG-13,116,"['Comedy', 'Romance']",105813373,71689014,177502387
/title/tt0370263/?ref_=bo_cso_table_163,Alien vs. Predator,"$177,427,090","$80,282,231",45.2%,"$97,144,859",54.8%,2004,"Twentieth Century Fox

",38291056,60000000,PG-13,101,"['Action', 'Adventure', 'Horror', 'Science fiction', 'Thriller']",80282231,97144859,177427090
/title/tt0299977/?ref_=bo_cso_table_164,Hero,"$177,395,557","$53,710,019",30.3%,"$123,685,538",69.7%,2002,"Miramax

",17800000,31000000,PG-13,0,"['Action', 'Adventure', 'History']",53710019,123685538,177395557
/title/tt0405422/?ref_=bo_cso_table_165,The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3%,2005,"Universal Pictures

",21422815,26000000,R,116,"['Comedy', 'Romance']",109449237,67929408,177378645
/title/tt1327773/?ref_=bo_cso_table_166,Lee Daniels' The Butler,"$177,313,795","$116,632,095",65.8%,"$60,681,700",34.2%,2013,"The Weinstein Company

",24637312,30000000,PG-13,132,"['Biography', 'Drama']",116632095,60681700,177313795
/title/tt0171363/?ref_=bo_cso_table_167,The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%,1999,"DreamWorks Distribution

",33435140,80000000,PG-13,113,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",91411151,85900000,177311151
/title/tt1033575/?ref_=bo_cso_table_168,The Descendants,"$177,243,185","$82,584,160",46.6%,"$94,659,025",53.4%,2011,"Fox Searchlight Pictures

",1190096,0,R,115,"['Comedy', 'Drama']",82584160,94659025,177243185
/title/tt0429493/?ref_=bo_cso_table_169,The A-Team,"$177,238,796","$77,222,099",43.6%,"$100,016,697",56.4%,2010,"Twentieth Century Fox

",25669455,110000000,PG-13,117,"['Action', 'Adventure', 'Thriller']",77222099,100016697,177238796
/title/tt0084805/?ref_=bo_cso_table_170,Tootsie,"$177,200,000","$177,200,000",100%,$0,-,1982,"Columbia Pictures

",5540470,21000000,,116,"['Comedy', 'Drama', 'Romance']",177200000,0,177200000
/title/tt0107206/?ref_=bo_cso_table_171,In the Line of Fire,"$176,997,168","$102,314,823",57.8%,"$74,682,345",42.2%,1993,"Columbia Pictures

",15269388,40000000,R,128,"['Action', 'Crime', 'Drama', 'Thriller']",102314823,74682345,176997168
/title/tt0122933/?ref_=bo_cso_table_172,Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%,1999,"Warner Bros.

",18383507,80000000,R,103,"['Comedy', 'Crime']",106885658,70000000,176885658
/title/tt1959563/?ref_=bo_cso_table_173,The Hitman's Bodyguard,"$176,600,207","$75,468,583",42.7%,"$101,131,624",57.3%,2017,"Lionsgate

",21384504,30000000,R,118,"['Action', 'Comedy', 'Crime', 'Thriller']",75468583,101118118,176586701
/title/tt1276104/?ref_=bo_cso_table_174,Looper,"$176,506,819","$66,486,205",37.7%,"$110,020,614",62.3%,2012,"TriStar Pictures

",20801552,30000000,R,113,"['Action', 'Drama', 'Science fiction', 'Thriller']",66486205,110020614,176506819
/title/tt2800240/?ref_=bo_cso_table_175,Serial (Bad) Weddings,"$176,404,493",-,-,"$176,404,493",100%,2014,,0,0,,97,['Comedy'],0,176404493,176404493
