title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
Harry Potter and the Goblet of Fire,2005,Warner Bros.,102685961,150000000,PG-13,157.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",895921036
Spider-Man 3,2007,Sony Pictures Entertainment (SPE),151116516,258000000,PG-13,139.0,"['Action', 'Adventure', 'Science fiction']",894983373
Ice Age: Dawn of the Dinosaurs,2009,Twentieth Century Fox,41690382,90000000,PG,94.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",886686817
Spectre,2015,Sony Pictures Entertainment (SPE),70403148,245000000,PG-13,148.0,"['Action', 'Adventure', 'Thriller']",880674609
Spider-Man: Homecoming,2017,Sony Pictures Entertainment (SPE),117027503,175000000,PG-13,133.0,"['Action', 'Adventure', 'Science fiction']",880166924
Harry Potter and the Chamber of Secrets,2002,Warner Bros.,88357488,100000000,PG,161.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",878979634
Ice Age: Continental Drift,2012,Twentieth Century Fox,46629259,95000000,PG,88.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",877244782
The Secret Life of Pets,2016,Universal Pictures,104352905,75000000,PG,87.0,"['Adventure', 'Animation', 'Comedy', 'Family']",875457937
Batman v Superman: Dawn of Justice,2016,Warner Bros.,166007347,250000000,PG-13,152.0,"['Action', 'Adventure', 'Science fiction']",873634919
Wolf Warrior 2,2017,The H Collective,219022,30100000,,123.0,"['Action', 'Adventure', 'Drama', 'Thriller', 'War']",870325439
Star Wars: Episode III - Revenge of the Sith,2005,Twentieth Century Fox,108435841,113000000,PG-13,140.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",868352530
The Hunger Games: Catching Fire,2013,Lionsgate,158074286,130000000,PG-13,146.0,"['Action', 'Drama', 'Mystery', 'Science fiction', 'Thriller']",865011746
Guardians of the Galaxy Vol. 2,2017,Walt Disney Studios Motion Pictures,146510104,200000000,PG-13,136.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",863756051
Inside Out,2015,Walt Disney Studios Motion Pictures,90440272,175000000,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",857611174
Venom,2018,Sony Pictures Entertainment (SPE),80255756,100000000,PG-13,112.0,"['Action', 'Adventure', 'Science fiction']",856085151
Thor: Ragnarok,2017,Walt Disney Studios Motion Pictures,122744989,180000000,PG-13,130.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science fiction']",853977126
Inception,2010,Warner Bros.,62785337,160000000,PG-13,148.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",826137188
Transformers: Revenge of the Fallen,2009,DreamWorks,108966307,200000000,PG-13,149.0,"['Action', 'Adventure', 'Science fiction']",836303693
The Twilight Saga: Breaking Dawn - Part 2,2012,Lionsgate,141067634,120000000,PG-13,115.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",829746820
Spider-Man,2002,Sony Pictures Entertainment (SPE),114844116,139000000,PG-13,121.0,"['Action', 'Adventure', 'Science fiction']",821708551
Wonder Woman,2017,Warner Bros.,103251471,149000000,PG-13,141.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction', 'War']",821847012
Independence Day,1996,Twentieth Century Fox,50228264,75000000,PG-13,145.0,"['Action', 'Adventure', 'Science fiction']",817400891
Fantastic Beasts and Where to Find Them,2016,Warner Bros.,74403387,180000000,PG-13,132.0,"['Adventure', 'Family', 'Fantasy']",814037575
Shrek the Third,2007,DreamWorks,121629270,160000000,PG,93.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",813367380
Jumanji: The Next Level,2019,Sony Pictures Entertainment (SPE),59251543,125000000,PG-13,123.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",800059707
Harry Potter and the Prisoner of Azkaban,2004,Warner Bros.,93687367,130000000,PG,142.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",795634069
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Walt Disney Studios Motion Pictures,62983253,230000000,PG-13,129.0,"['Action', 'Adventure', 'Fantasy']",794861794
E.T. the Extra-Terrestrial,1982,Universal Pictures,11835389,10500000,PG,115.0,"['Family', 'Science fiction']",359197037
Mission: Impossible - Fallout,2018,Paramount Pictures,61236534,178000000,PG-13,147.0,"['Action', 'Adventure', 'Thriller']",791115104
2012,2009,Sony Pictures Entertainment (SPE),65237614,200000000,PG-13,158.0,"['Action', 'Adventure', 'Science fiction']",769679473
Indiana Jones and the Kingdom of the Crystal Skull,2008,Paramount Pictures,100137835,185000000,PG-13,122.0,"['Action', 'Adventure']",790653942
Spider-Man 2,2004,Sony Pictures Entertainment (SPE),88156227,200000000,PG-13,127.0,"['Action', 'Adventure', 'Science fiction']",788976453
Fast & Furious 6,2013,Universal Pictures,97375245,160000000,PG-13,130.0,"['Action', 'Adventure', 'Thriller']",788679850
Deadpool 2,2018,Twentieth Century Fox,125507153,110000000,R,119.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",734546611
Deadpool,2016,Twentieth Century Fox,132434639,58000000,R,108.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",782612155
Star Wars: Episode IV - A New Hope,1977,Twentieth Century Fox,1554475,11000000,PG,121.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",307263857
Guardians of the Galaxy,2014,Walt Disney Studios Motion Pictures,94320883,170000000,PG-13,121.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",772776600
The Da Vinci Code,2006,Sony Pictures Entertainment (SPE),77073388,125000000,PG-13,149.0,"['Mystery', 'Thriller']",760006945
Fast & Furious Presents: Hobbs & Shaw,2019,Universal Pictures,60038950,200000000,,137.0,"['Action', 'Adventure', 'Thriller']",759056935
Maleficent,2014,Walt Disney Studios Motion Pictures,69431298,180000000,PG,97.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Romance']",758410378
The Amazing Spider-Man,2012,Sony Pictures Entertainment (SPE),62004688,230000000,PG-13,136.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",757930663
The Hunger Games: Mockingjay - Part 1,2014,Lionsgate,121897634,125000000,PG-13,123.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",755356711
Shrek Forever After,2010,DreamWorks,70838207,165000000,PG,93.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",752600867
Madagascar 3: Europe's Most Wanted,2012,DreamWorks,60316738,145000000,PG,95.0,"['Adventure', 'Animation', 'Comedy', 'Family']",746921274
Suicide Squad,2016,Warner Bros.,133682248,175000000,PG-13,123.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",746846894
X-Men: Days of Future Past,2014,Twentieth Century Fox,90823660,200000000,PG-13,132.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",746045700
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Walt Disney Studios Motion Pictures,65556312,180000000,PG,143.0,"['Adventure', 'Family', 'Fantasy']",745013115
The Matrix Reloaded,2003,Warner Bros.,91774413,150000000,R,138.0,"['Action', 'Science fiction']",739412035
Up,2009,Walt Disney Studios Motion Pictures,68108790,175000000,PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",735099082
Gravity,2013,Warner Bros.,55785112,100000000,PG-13,91.0,"['Adventure', 'Drama', 'Science fiction', 'Thriller']",723192705
Captain America: The Winter Soldier,2014,Walt Disney Studios Motion Pictures,95023721,170000000,PG-13,136.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",714421503
The Twilight Saga: Breaking Dawn - Part 1,2011,Summit Entertainment,138122261,110000000,PG-13,117.0,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",712205856
The Twilight Saga: New Moon,2009,Summit Entertainment,142839137,50000000,PG-13,130.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",709827462
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,72611427,170000000,PG-13,130.0,"['Action', 'Adventure', 'Drama', 'Science fiction']",710644566
Transformers,2007,DreamWorks,70502384,150000000,PG-13,144.0,"['Action', 'Adventure', 'Science fiction']",709709780
It,2017,Warner Bros.,123403419,35000000,R,135.0,['Horror'],700381748
Interstellar,2014,Paramount Pictures,47510360,165000000,PG-13,169.0,"['Adventure', 'Drama', 'Science fiction']",677896797
The Twilight Saga: Eclipse,2010,Summit Entertainment,64832191,68000000,PG-13,124.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",698491347
Mission: Impossible - Ghost Protocol,2011,Paramount Pictures,12785204,145000000,PG-13,132.0,"['Action', 'Adventure', 'Thriller']",694713380
The Hunger Games,2012,Lionsgate,152535747,78000000,PG-13,142.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",694394724
Mission: Impossible - Rogue Nation,2015,Paramount Pictures,55520089,150000000,PG-13,131.0,"['Action', 'Adventure', 'Thriller']",682714267
Forrest Gump,1994,Paramount Pictures,24450602,55000000,PG-13,142.0,"['Drama', 'Romance']",329694499
Doctor Strange,2016,Walt Disney Studios Motion Pictures,85058311,165000000,PG-13,115.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",677718395
The Sixth Sense,1999,Walt Disney Studios Motion Pictures,26681262,40000000,PG-13,107.0,"['Drama', 'Mystery', 'Thriller']",672806292
Man of Steel,2013,Warner Bros.,116619362,225000000,PG-13,143.0,"['Action', 'Adventure', 'Science fiction']",668045518
Ice Age: The Meltdown,2006,Twentieth Century Fox,68033544,80000000,PG,91.0,"['Adventure', 'Animation', 'Comedy', 'Family']",660998756
Kung Fu Panda 2,2011,DreamWorks,47656302,150000000,PG,90.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",665692281
The Hunger Games: Mockingjay - Part 2,2015,Lionsgate,102665981,160000000,PG-13,137.0,"['Action', 'Adventure', 'Science fiction', 'Thriller']",658344137
Big Hero 6,2014,Walt Disney Studios Motion Pictures,56215889,165000000,PG,102.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Science fiction']",657827828
Fantastic Beasts: The Crimes of Grindelwald,2018,Warner Bros.,62163104,200000000,PG-13,134.0,"['Adventure', 'Family', 'Fantasy']",654855901
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Walt Disney Studios Motion Pictures,46630690,140000000,PG-13,143.0,"['Action', 'Adventure', 'Fantasy']",654264015
Star Wars: Episode II - Attack of the Clones,2002,Twentieth Century Fox,80027814,115000000,PG,142.0,"['Action', 'Adventure', 'Fantasy', 'Science fiction']",645256452
Thor: The Dark World,2013,Walt Disney Studios Motion Pictures,85737841,170000000,PG-13,112.0,"['Action', 'Adventure', 'Fantasy']",644783140
Sing,2016,Universal Pictures,35258145,75000000,PG,108.0,"['Animation', 'Comedy', 'Family', 'Musical']",634151679
Kung Fu Panda,2008,DreamWorks,60239130,130000000,PG,92.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",631744560
The Incredibles,2004,Walt Disney Studios Motion Pictures,70467623,92000000,,115.0,"['Action', 'Adventure', 'Animation', 'Family']",631442092
The Martian,2015,Twentieth Century Fox,54308575,108000000,PG-13,144.0,"['Adventure', 'Drama', 'Science fiction']",630161890
Hancock,2008,Sony Pictures Entertainment (SPE),62603879,150000000,PG-13,92.0,"['Action', 'Drama', 'Fantasy']",629443428
Fast Five,2011,Universal Pictures,86198765,125000000,PG-13,130.0,"['Action', 'Adventure', 'Crime', 'Thriller']",626137675
Men in Black 3,2012,Sony Pictures Entertainment (SPE),54592779,225000000,PG-13,106.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",624026776
Iron Man 2,2010,Paramount Pictures,128122480,200000000,PG-13,124.0,"['Action', 'Adventure', 'Science fiction']",623933331
Ratatouille,2007,Walt Disney Studios Motion Pictures,47027395,150000000,G,111.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",623726085
How to Train Your Dragon 2,2014,Twentieth Century Fox,49451322,145000000,PG,102.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",621537519
Logan,2017,Twentieth Century Fox,88411916,97000000,R,137.0,"['Action', 'Drama', 'Science fiction', 'Thriller']",619021436
The Lost World: Jurassic Park,1997,Universal Pictures,72132785,73000000,PG-13,129.0,"['Action', 'Adventure', 'Science fiction']",618638999
Casino Royale,2006,Sony Pictures Entertainment (SPE),40833156,150000000,PG-13,144.0,"['Action', 'Adventure', 'Thriller']",605999592
The Passion of the Christ,2004,Newmarket Films,83848082,30000000,R,127.0,['Drama'],611486736
Mamma Mia!,2008,Universal Pictures,27751240,52000000,PG-13,108.0,"['Comedy', 'Musical', 'Romance']",609841637
Life of Pi,2012,Twentieth Century Fox,22451514,120000000,PG,127.0,"['Adventure', 'Drama', 'Fantasy']",609016565
Transformers: The Last Knight,2017,Paramount Pictures,44680073,217000000,PG-13,154.0,"['Action', 'Adventure', 'Science fiction']",605425157
Madagascar: Escape 2 Africa,2008,DreamWorks,63106589,150000000,PG,89.0,"['Adventure', 'Animation', 'Comedy', 'Family']",603900354
War of the Worlds,2005,Paramount Pictures,64878725,132000000,PG-13,116.0,"['Action', 'Adventure', 'Science fiction']",603873119
Tangled,2010,Walt Disney Studios Motion Pictures,48767052,260000000,PG,100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",592461732
Quantum of Solace,2008,Sony Pictures Entertainment (SPE),67528882,200000000,PG-13,106.0,"['Action', 'Adventure', 'Thriller']",589580482
Men in Black,1997,Sony Pictures Entertainment (SPE),51068455,90000000,PG-13,98.0,"['Action', 'Adventure', 'Comedy', 'Science fiction']",250690539
The Croods,2013,Twentieth Century Fox,43639736,135000000,PG,98.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",587204668
